basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,6001051,7241343,NULL,2024-05-31
imported,2024-05-31,2,6375017,6369712,NULL,2024-05-31
imported,2024-05-31,2,4926662,87550,NULL,2024-05-31
imported,2024-05-31,2,5661318,7685066,NULL,2024-05-31
imported,2024-05-31,2,227548,5152271,NULL,2024-05-31
imported,2024-05-31,2,7686078,7686564,NULL,2024-05-31
imported,2024-05-31,2,5984905,7689841,NULL,2024-05-31
imported,2024-05-31,2,87323,6373279,NULL,2024-05-31
imported,2024-05-31,2,5888505,6374311,NULL,2024-05-31
imported,2024-05-31,2,7148033,13009328,NULL,2024-05-31
imported,2024-05-31,2,4457645,7685343,NULL,2024-05-31
imported,2024-05-31,2,227922,81497,NULL,2024-05-31
imported,2024-05-31,2,5246473,7251628,NULL,2024-05-31
imported,2024-05-31,2,6373273,5164074,NULL,2024-05-31
imported,2024-05-31,2,2487361,83580,NULL,2024-05-31
imported,2024-05-31,2,6181698,91263,NULL,2024-05-31
imported,2024-05-31,2,2487896,83636,NULL,2024-05-31
imported,2024-05-31,2,86553,82036,NULL,2024-05-31
imported,2024-05-31,2,4500511,7247746,NULL,2024-05-31
imported,2024-05-31,2,14316315,7553921,NULL,2024-05-31
imported,2024-05-31,2,4696364,6369933,NULL,2024-05-31
imported,2024-05-31,2,2488270,87802,NULL,2024-05-31
imported,2024-05-31,2,5786466,6371973,NULL,2024-05-31
imported,2024-05-31,2,81975,85724,NULL,2024-05-31
imported,2024-05-31,2,85626,8066685,NULL,2024-05-31
imported,2024-05-31,2,5959347,7223742,NULL,2024-05-31
imported,2024-05-31,2,5505814,7262307,NULL,2024-05-31
imported,2024-05-31,2,14192352,6373123,NULL,2024-05-31
imported,2024-05-31,2,6115378,7232812,NULL,2024-05-31
imported,2024-05-31,2,5812725,7691010,NULL,2024-05-31
imported,2024-05-31,2,6371576,14221168,NULL,2024-05-31
imported,2024-05-31,2,83571,83570,NULL,2024-05-31
