place_a_id,place_b_id
85318,7797250
7554903,7691124
5537538,7861292
4790833,6370927
6060259,6375374
4667171,7688921
90040,6292675
5227355,6369038
7691273,167102
5729345,6371559
87318,87318
13589062,7685651
6292705,6296839
5679567,7686657
5358627,7232948
5325557,90074
12347449,7554772
4558989,84282
4833940,13631884
5927031,6371881
83090,6462299
14168857,7690897
6371797,6369666
5168130,7238557
5107624,8072675
4450939,6374016
4556195,7226639
5922601,6374352
6008607,7236420
5460334,7690685
7685825,14174823
5694025,6375039
82458,7554877
6373747,6373780
14156767,12434757
5622260,81688
5897816,6369384
14157181,14260186
6372787,7690806
2487653,14154027
6368817,7686637
227818,86883
4895500,83870
4804636,6370026
128675,84687
5968581,83581
167152,4903575
7553651,14184352
6372992,13857518
2487492,4766259
81564,7137545
2488008,85115
81292,6373071
7055423,7690854
2487609,14054445
6373068,6368880
4769090,14190802
7554087,14174950
5799983,8073776
4928793,7254157
14182073,6367941
4528864,7232304
12958171,7610219
88374,7689937
2486583,81369
86043,14160874
6032625,86912
14160937,14160838
6373311,7137585
6370044,7690107
5012744,7239488
5715041,83479
81523,7685392
5760469,86639
5315016,6369729
13814963,6371571
86633,7861105
5832373,7252281
5696454,7688732
4717912,7240521
5570231,7228624
5976169,7864200
4752971,7236821
6368365,7685370
6368869,6373243
6369463,14178748
227613,7690349
227727,83387
13322660,7689900
5840899,7229505
6450104,7554252
85947,7555010
81335,6368637
7554936,13307567
4510955,12634586
86907,12592142
81735,14071518
5028614,6370618
7690897,14168857
6374335,7225724
5158209,7686285
7817632,7817637
5529697,87248
4577848,7250395
5210511,7260745
5295020,7226401
5625744,82862
227961,4770154
4847208,8066004
5922583,88180
5783214,7223414
5488586,166962
5018416,6371329
14156725,13219228
14167141,13680734
5887067,85038
82420,6375497
6371165,12780530
139485,7610325
88444,14159173
5029773,7688778
5224615,7260471
5367139,7245619
6117932,7670848
6452328,14251703
2487344,6369624
4748552,82477
6464529,7554864
91571,6029305
6054741,6373240
4948958,91562
6373154,6370337
6370177,7687607
6463350,7691073
5261741,89454
6047278,7690666
4626817,7238430
4900684,7226365
6369028,6373567
4758287,6368792
4558061,13286835
4899766,82556
4642519,6368936
4619353,7225182
5339838,6369838
5131643,7688588
4562589,7232446
4851129,7250820
4521681,7246896
7555089,14152941
5655295,88102
84884,6373021
4503293,8068984
89205,6372897
7689328,12951827
5534038,7252850
4899305,6370123
4622038,7688937
14191951,14192080
5923604,6372260
2486805,90520
4959466,7687991
88599,6370743
7685275,7685275
2488492,89913
84960,7137638
12697077,12399667
4569148,7687434
87377,13269457
4669119,7231619
5063157,7251217
4527158,7554966
227649,81919
4872110,7228373
5997785,13846769
4653963,6373465
86913,7689028
5683208,7258005
6129236,7234279
6180970,7687084
5375892,7689747
6199816,7255820
14174993,6459662
90337,7691110
4611739,7691839
12346897,12346897
7689732,14161062
5470064,81569
4859906,7686846
227926,6375377
5627507,7247765
4784001,85382
89535,6373309
82148,7685840
14174427,7686526
4500142,7235296
6368495,7685190
4475189,81586
4578798,6373565
5369681,84911
5642814,6372336
86746,6371495
4755901,7861089
6369694,7689341
88256,6371169
6023536,7229154
5763531,6373046
6045216,7248245
89273,6451798
6368931,6375338
5048259,7227309
5392379,7688761
5917200,7226358
