id	title	title_source	ccodes	types	fclasses	aat_types	lon	lat	start	end	matches	parent_name	parent_id
hgc-pp-1036	Kamara	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.6539	44.5173	1450	1800	gn:698800	Mangup district	http://www.geonames.org/11494691
hgc-pp-1037	Karany	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.55374	44.50599	1450	1800	gn:709121	Mangup district	http://www.geonames.org/11494691
hgc-pp-1038	Küčük Lambat	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.36652	44.59719	1450	1800	gn:8410751	Mangup district	http://www.geonames.org/11494691
hgc-pp-1039	Partenit	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.34464	44.578	1450	1800	gn:709075	Mangup district	http://www.geonames.org/11494691
hgc-pp-1040	Qady Köj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.59611	44.51879	1450	1800	gn:11153758	Mangup district	http://www.geonames.org/11494691
hgc-pp-1041	Savatka	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.85314	44.48128	1450	1800	gn:695409	Mangup district	http://www.geonames.org/11494691
hgc-pp-1042	Aq Šejiχ	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.52446	45.77611	1450	1800	gn:695740	Maŋɣyt district	http://www.geonames.org/11494622
hgc-pp-1043	Kerlevüt	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	32.93618	45.59078	1450	1800	gn:689343	Maŋɣyt district	http://www.geonames.org/11494622
hgc-pp-1044	Burnaš	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.78812	45.45108	1450	1800	gn:7019389	Nasyv district	http://www.geonames.org/11494738
hgc-pp-1045	Dede	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.66351145	46.00076128	1450	1800	gn:11468221	Or district	http://www.geonames.org/11494791
hgc-pp-1046	Ermeni Bazar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.69095	46.10871	1450	1800	gn:713203	Or district	http://www.geonames.org/11494791
hgc-pp-1047	Ğanɣara	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.80602	46.06018	1450	1800	gn:706708	Or district	http://www.geonames.org/11494791
hgc-pp-1048	Or	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.69308	46.16151	1450	1800	gn:697729	Or district	http://www.geonames.org/11494791
hgc-pp-1049	Qart Qazaq	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.74892	45.97652	1450	1800	gn:691777	Or district	http://www.geonames.org/11494791
hgc-pp-1050	Tuzla	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.76588	45.99495	1450	1800	gn:7027004	Or district	http://www.geonames.org/11494791
hgc-pp-1051	Üjšün	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.82364	45.92403	1450	1800	gn:707544	Or district	http://www.geonames.org/11494791
hgc-pp-1052	Kök Tejin	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.39341	45.53885	1450	1800	gn:697079	Orta Čoŋɣar district	http://www.geonames.org/11494739
hgc-pp-1053	Qodaɣaj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.2375	45.61672	1450	1800	gn:688711	Orta Čoŋɣar district	http://www.geonames.org/11494739
hgc-pp-1054	Uzun Saqal	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.38327	45.65067	1450	1800	gn:7020275	Orta Čoŋɣar district	http://www.geonames.org/11494739
hgc-pp-1055	Aqtačy	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.74434	44.75825	1450	1800	gn:709064	Qačy district	http://www.geonames.org/11497032
hgc-pp-1056	Eski El	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.60499	44.73247	1450	1800	gn:709268	Qačy district	http://www.geonames.org/11497032
hgc-pp-1057	Qačy	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.62662083	44.73980029	1450	1800	gn:11468273	Qačy district	http://www.geonames.org/11497032
hgc-pp-1063	Ajlanma	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.72453	44.94883	1450	1800	gn:713090	Qarasuv Bazar district	http://www.geonames.org/11494740
hgc-pp-1064	Ğemrik	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.67739	45.00165	1450	1800	gn:6998264	Qarasuv Bazar district	http://www.geonames.org/11494740
hgc-pp-1065	Ajbar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.87482	45.51222	1450	1800	gn:688903	Qaravul district	http://www.geonames.org/11494790
hgc-pp-1066	Mamut Sultan	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.22661	44.86632	1450	1800	gn:709869	Salɣyr district	http://www.geonames.org/11494779
hgc-pp-1067	Orta Sobla	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.08465	44.83379	1450	1800	gn:697959	Salɣyr district	http://www.geonames.org/11494779
hgc-pp-1068	Kyš Qara	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.71709	45.85651	1450	1800	gn:703618	Samarčyq district	http://www.geonames.org/11494788
hgc-pp-1069	Sary Baš	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.78728	45.57142	1450	1800	gn:691920	Samarčyq district	http://www.geonames.org/11494788
hgc-pp-1070	Toqulčaq	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.83098	45.64219	1450	1800	gn:708061	Samarčyq district	http://www.geonames.org/11494788
hgc-pp-1071	Burlaq	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.15543	45.78007	1450	1800	gn:699493	Saqal district	http://www.geonames.org/11494786
hgc-pp-1072	Qara Qytaj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.27356339	46.03475826	1450	1800	gn:11468235	Saqal district	http://www.geonames.org/11494786
hgc-pp-1073	Qarač	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.27723	45.89245	1450	1800	gn:706837	Saqal district	http://www.geonames.org/11494786
hgc-pp-1074	Manaj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.52775	45.69028	1450	1800	gn:686748	Sejiχ Eli district	http://www.geonames.org/11494620
hgc-pp-1075	Šejiχ Eli	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.3423	45.5747	1450	1800	gn:712313	Sejiχ Eli district	http://www.geonames.org/11494620
hgc-pp-1076	Aq Köbek	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.02385	45.2533	1450	1800	gn:694378	Širin district	http://www.geonames.org/11494705
hgc-pp-1077	Murza Köj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.83586	45.05318	1450	1800	gn:700602	Širin district	http://www.geonames.org/11494705
hgc-pp-1078	Qara Baj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.03384	45.19918	1450	1800	gn:695669	Širin district	http://www.geonames.org/11494705
